Accession;Peptides;Score;Anova (p)*;Fold;Fractions;Description;A14D;A14R
SNP47_HUMAN;1 (1);21.15;0.55;1.39;123;Synaptosomal-associated protein 47 OS=Homo sapiens GN=SNAP47 PE=1 SV=3;1.83e+005;2.53e+005
PLIN4_HUMAN;1 (1);92.84;0.55;1.35;123;Perilipin-4 OS=Homo sapiens GN=PLIN4 PE=2 SV=2;1101.12;1484.88
PORCN_HUMAN;1 (1);23.40;0.55;1.32;123;Protein-cysteine N-palmitoyltransferase porcupine OS=Homo sapiens GN=PORCN PE=1 SV=2;1195.60;1576.63
PLOD2_HUMAN;16 (16);659.54;0.55;1.25;123;Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 OS=Homo sapiens GN=PLOD2 PE=1 SV=2;1.58e+004;1.97e+004
ADH1B_HUMAN;6 (6);210.88;0.55;1.18;123;Alcohol dehydrogenase 1B OS=Homo sapiens GN=ADH1B PE=1 SV=2;1.04e+004;1.23e+004
COIA1_HUMAN;1 (1);23.03;0.55;1.01;123;Collagen alpha-1(XVIII) chain OS=Homo sapiens GN=COL18A1 PE=1 SV=5;1042.11;1028.33
FABP5_HUMAN;4 (4);210.52;0.54;3.28;123;Fatty acid-binding protein, epidermal OS=Homo sapiens GN=FABP5 PE=1 SV=3;2.86e+005;8.74e+004
TRY1_HUMAN;2 (2);63.07;0.54;2.72;123;Trypsin-1 OS=Homo sapiens GN=PRSS1 PE=1 SV=1;1.96e+004;7205.87
PVRL2_HUMAN;2 (2);74.15;0.54;2.71;123;Nectin-2 OS=Homo sapiens GN=PVRL2 PE=1 SV=1;7359.94;2714.84
HNRH3_HUMAN;1 (1);54.30;0.54;1.44;123;Heterogeneous nuclear ribonucleoprotein H3 OS=Homo sapiens GN=HNRNPH3 PE=1 SV=2;5918.12;8518.86
ANPRC_HUMAN;12 (12);658.42;0.54;1.34;123;Atrial natriuretic peptide receptor 3 OS=Homo sapiens GN=NPR3 PE=1 SV=2;1.98e+004;2.66e+004
IPYR2_HUMAN;2 (1);47.75;0.54;1.31;123;Inorganic pyrophosphatase 2, mitochondrial OS=Homo sapiens GN=PPA2 PE=1 SV=2;8478.85;1.11e+004
PCOC1_HUMAN;20 (20);1384.18;0.54;1.23;123;Procollagen C-endopeptidase enhancer 1 OS=Homo sapiens GN=PCOLCE PE=1 SV=2;2.95e+005;3.64e+005
SORCN_HUMAN;4 (4);150.07;0.54;1.22;123;Sorcin OS=Homo sapiens GN=SRI PE=1 SV=1;1.33e+004;1.09e+004
ARP5L_HUMAN;1 (1);59.21;0.54;1.19;123;Actin-related protein 2/3 complex subunit 5-like protein OS=Homo sapiens GN=ARPC5L PE=1 SV=1;5022.23;5995.88
ELAV1_HUMAN;2 (2);124.28;0.54;1.04;123;ELAV-like protein 1 OS=Homo sapiens GN=ELAVL1 PE=1 SV=2;1.20e+004;1.25e+004
WISP2_HUMAN;1 (1);36.09;0.53;3.60;123;WNT1-inducible-signaling pathway protein 2 OS=Homo sapiens GN=WISP2 PE=1 SV=1;1691.60;470.03
ILF2_HUMAN;4 (4);178.33;0.53;1.57;123;Interleukin enhancer-binding factor 2 OS=Homo sapiens GN=ILF2 PE=1 SV=2;2252.52;3538.41
ASNA_HUMAN;2 (2);55.48;0.53;1.37;123;ATPase ASNA1 OS=Homo sapiens GN=ASNA1 PE=1 SV=2;419.48;575.65
KPYM_HUMAN;24 (24);1688.45;0.53;1.35;123;Pyruvate kinase PKM OS=Homo sapiens GN=PKM PE=1 SV=4;1.24e+005;1.68e+005
NEO1_HUMAN;9 (9);387.60;0.53;1.35;123;Neogenin OS=Homo sapiens GN=NEO1 PE=1 SV=2;1.52e+004;2.05e+004
ATS2_HUMAN;5 (5);240.69;0.53;1.35;123;A disintegrin and metalloproteinase with thrombospondin motifs 2 OS=Homo sapiens GN=ADAMTS2 PE=2 SV=2;2.35e+004;3.17e+004
BLMH_HUMAN;1 (1);47.83;0.53;1.34;123;Bleomycin hydrolase OS=Homo sapiens GN=BLMH PE=1 SV=1;3996.48;5336.25
NUCB1_HUMAN;13 (13);570.08;0.53;1.21;123;Nucleobindin-1 OS=Homo sapiens GN=NUCB1 PE=1 SV=4;2.20e+004;2.66e+004
DESP_HUMAN;2 (2);84.02;0.52;6.47;123;Desmoplakin OS=Homo sapiens GN=DSP PE=1 SV=3;197.49;1278.46
RL22_HUMAN;1 (1);44.94;0.52;3.13;123;60S ribosomal protein L22 OS=Homo sapiens GN=RPL22 PE=1 SV=2;4.04e+004;1.29e+004
DDX60_HUMAN;1 (1);18.07;0.52;1.81;123;Probable ATP-dependent RNA helicase DDX60 OS=Homo sapiens GN=DDX60 PE=1 SV=3;1.68e+004;9326.49
CO4A_HUMAN;11 (11);523.75;0.52;1.65;123;Complement C4-A OS=Homo sapiens GN=C4A PE=1 SV=2;8834.45;5345.94
MK01_HUMAN;1 (1);63.29;0.52;1.62;123;Mitogen-activated protein kinase 1 OS=Homo sapiens GN=MAPK1 PE=1 SV=3;2453.42;3978.47
NH2L1_HUMAN;2 (2);66.94;0.52;1.60;123;NHP2-like protein 1 OS=Homo sapiens GN=NHP2L1 PE=1 SV=3;7371.43;4616.65
TRPM3_HUMAN;1 (1);17.37;0.52;1.56;123;Transient receptor potential cation channel subfamily M member 3 OS=Homo sapiens GN=TRPM3 PE=2 SV=4;6880.55;4414.33
TNR6_HUMAN;2 (2);62.77;0.52;1.55;123;Tumor necrosis factor receptor superfamily member 6 OS=Homo sapiens GN=FAS PE=1 SV=1;1735.06;2689.33
CP110_HUMAN;1 (1);16.22;0.52;1.55;123;Centriolar coiled-coil protein of 110 kDa OS=Homo sapiens GN=CCP110 PE=1 SV=3;3.66e+004;2.36e+004
RS13_HUMAN;2 (2);68.68;0.52;1.51;123;40S ribosomal protein S13 OS=Homo sapiens GN=RPS13 PE=1 SV=2;3340.79;2216.37
CSN8_HUMAN;3 (3);182.42;0.52;1.41;123;COP9 signalosome complex subunit 8 OS=Homo sapiens GN=COPS8 PE=1 SV=1;5916.13;8319.27
PRDX4_HUMAN;6 (5);307.23;0.52;1.37;123;Peroxiredoxin-4 OS=Homo sapiens GN=PRDX4 PE=1 SV=1;1.60e+004;2.20e+004
COG6_HUMAN;1 (1);28.31;0.52;1.37;123;Conserved oligomeric Golgi complex subunit 6 OS=Homo sapiens GN=COG6 PE=1 SV=2;1083.07;787.88
ERI6B_HUMAN;2 (2);39.49;0.52;1.31;123;Glutamate-rich protein 6B OS=Homo sapiens GN=ERICH6B PE=1 SV=1;1486.79;1950.77
ARL3_HUMAN;2 (2);93.23;0.52;1.24;123;ADP-ribosylation factor-like protein 3 OS=Homo sapiens GN=ARL3 PE=1 SV=2;9297.91;1.15e+004
FA5_HUMAN;4 (4);224.61;0.52;1.18;123;Coagulation factor V OS=Homo sapiens GN=F5 PE=1 SV=4;3932.26;4632.13
MTPN_HUMAN;2 (2);87.53;0.51;2.13;123;Myotrophin OS=Homo sapiens GN=MTPN PE=1 SV=2;7793.17;3652.64
CBS_HUMAN;1 (1);26.79;0.51;1.61;123;Cystathionine beta-synthase OS=Homo sapiens GN=CBS PE=1 SV=2;1.01e+005;1.63e+005
ARHG5_HUMAN;2 (1);38.57;0.51;1.53;123;Rho guanine nucleotide exchange factor 5 OS=Homo sapiens GN=ARHGEF5 PE=1 SV=3;287.62;188.32
G6PI_HUMAN;15 (15);979.75;0.51;1.48;123;Glucose-6-phosphate isomerase OS=Homo sapiens GN=GPI PE=1 SV=4;4.78e+004;7.09e+004
PDIA3_HUMAN;16 (16);795.54;0.51;1.44;123;Protein disulfide-isomerase A3 OS=Homo sapiens GN=PDIA3 PE=1 SV=4;3.40e+004;4.91e+004
TBCA_HUMAN;2 (2);57.08;0.51;1.41;123;Tubulin-specific chaperone A OS=Homo sapiens GN=TBCA PE=1 SV=3;3774.42;5304.38
ZN767_HUMAN;1 (1);17.45;0.51;1.41;123;Protein ZNF767 OS=Homo sapiens GN=ZNF767 PE=2 SV=1;8499.61;1.20e+004
PAPOA_HUMAN;1 (1);16.75;0.51;1.32;123;Poly(A) polymerase alpha OS=Homo sapiens GN=PAPOLA PE=1 SV=4;3.81e+004;5.01e+004
RENR_HUMAN;6 (6);340.99;0.51;1.21;123;Renin receptor OS=Homo sapiens GN=ATP6AP2 PE=1 SV=2;2.12e+004;2.57e+004
GAPR1_HUMAN;1 (1);47.26;0.51;1.16;123;Golgi-associated plant pathogenesis-related protein 1 OS=Homo sapiens GN=GLIPR2 PE=1 SV=3;1264.28;1090.06
TSKS_HUMAN;2 (2);36.17;0.51;1.16;123;Testis-specific serine kinase substrate OS=Homo sapiens GN=TSKS PE=1 SV=3;7387.74;6371.55
DCD_HUMAN;1 (1);50.66;0.50;48.95;123;Dermcidin OS=Homo sapiens GN=DCD PE=1 SV=2;1.98e+005;4037.11
EF1D_HUMAN;7 (6);381.52;0.50;10.18;123;Elongation factor 1-delta OS=Homo sapiens GN=EEF1D PE=1 SV=5;2.52e+005;2.48e+004
DACT2_HUMAN;1 (1);19.37;0.50;1.58;123;Dapper homolog 2 OS=Homo sapiens GN=DACT2 PE=2 SV=1;1040.63;1641.21
CIART_HUMAN;1 (1);21.57;0.50;1.55;123;Circadian-associated transcriptional repressor OS=Homo sapiens GN=CIART PE=1 SV=1;8.48e+004;5.47e+004
H2B1D_HUMAN;7 (7);382.09;0.50;1.51;123;Histone H2B type 1-D OS=Homo sapiens GN=HIST1H2BD PE=1 SV=2;4.22e+004;2.79e+004
CMYA5_HUMAN;3 (3);52.69;0.50;1.51;123;Cardiomyopathy-associated protein 5 OS=Homo sapiens GN=CMYA5 PE=1 SV=3;1.22e+004;1.84e+004
PLBL2_HUMAN;9 (9);517.88;0.50;1.41;123;Putative phospholipase B-like 2 OS=Homo sapiens GN=PLBD2 PE=1 SV=2;1.56e+004;2.21e+004
DPYL3_HUMAN;15 (9);700.29;0.50;1.30;123;Dihydropyrimidinase-related protein 3 OS=Homo sapiens GN=DPYSL3 PE=1 SV=1;1.81e+004;1.39e+004
SPTB2_HUMAN;8 (8);357.14;0.50;1.14;123;Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTBN1 PE=1 SV=2;3092.79;3537.02
ABHD4_HUMAN;1 (1);27.00;0.50;1.12;123;Abhydrolase domain-containing protein 4 OS=Homo sapiens GN=ABHD4 PE=2 SV=1;1.68e+004;1.88e+004
RNT2_HUMAN;2 (2);96.42;0.50;1.08;123;Ribonuclease T2 OS=Homo sapiens GN=RNASET2 PE=1 SV=2;8934.14;9618.84
MPRI_HUMAN;1 (1);28.01;0.49;2.13;123;Cation-independent mannose-6-phosphate receptor OS=Homo sapiens GN=IGF2R PE=1 SV=3;9.73e+004;2.07e+005
PROF2_HUMAN;3 (3);114.86;0.49;2.05;123;Profilin-2 OS=Homo sapiens GN=PFN2 PE=1 SV=3;2.08e+004;1.02e+004
SYHM_HUMAN;3 (2);92.87;0.49;2.01;123;Probable histidine--tRNA ligase, mitochondrial OS=Homo sapiens GN=HARS2 PE=1 SV=1;682.19;1370.26
EDF1_HUMAN;2 (2);77.66;0.49;1.76;123;Endothelial differentiation-related factor 1 OS=Homo sapiens GN=EDF1 PE=1 SV=1;3632.11;6380.19
PAIP1_HUMAN;1 (1);24.76;0.49;1.57;123;Polyadenylate-binding protein-interacting protein 1 OS=Homo sapiens GN=PAIP1 PE=1 SV=1;1781.78;2794.24
PEBP1_HUMAN;10 (10);732.55;0.49;1.45;123;Phosphatidylethanolamine-binding protein 1 OS=Homo sapiens GN=PEBP1 PE=1 SV=3;2.64e+005;3.83e+005
AIFM1_HUMAN;7 (6);236.98;0.49;1.45;123;Apoptosis-inducing factor 1, mitochondrial OS=Homo sapiens GN=AIFM1 PE=1 SV=1;3705.70;5381.91
CF118_HUMAN;1 (1);15.05;0.49;1.40;123;Uncharacterized protein C6orf118 OS=Homo sapiens GN=C6orf118 PE=2 SV=1;6.46e+004;9.05e+004
TSN_HUMAN;3 (3);83.16;0.49;1.38;123;Translin OS=Homo sapiens GN=TSN PE=1 SV=1;6946.77;9619.79
ZFY16_HUMAN;1 (1);23.52;0.49;1.31;123;Zinc finger FYVE domain-containing protein 16 OS=Homo sapiens GN=ZFYVE16 PE=1 SV=3;1.32e+006;1.73e+006
K22E_HUMAN;23 (15);1380.95;0.49;1.30;123;Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens GN=KRT2 PE=1 SV=2;1.40e+005;1.08e+005
NKX26_HUMAN;1 (1);18.77;0.49;1.13;123;Homeobox protein Nkx-2.6 OS=Homo sapiens GN=NKX2-6 PE=1 SV=1;5799.45;5141.67
MUCL1_HUMAN;1 (1);18.15;0.48;201.00;123;Mucin-like protein 1 OS=Homo sapiens GN=MUCL1 PE=1 SV=1;2.34e+004;116.35
S10AB_HUMAN;4 (4);283.07;0.48;2.29;123;Protein S100-A11 OS=Homo sapiens GN=S100A11 PE=1 SV=2;1.42e+005;6.20e+004
PLCL2_HUMAN;2 (2);39.96;0.48;1.71;123;Inactive phospholipase C-like protein 2 OS=Homo sapiens GN=PLCL2 PE=1 SV=2;5.92e+004;1.02e+005
NWD2_HUMAN;1 (1);21.51;0.48;1.63;123;NACHT and WD repeat domain-containing protein 2 OS=Homo sapiens GN=NWD2 PE=2 SV=3;2.73e+005;4.43e+005
PLOD1_HUMAN;18 (18);963.91;0.48;1.59;123;Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 OS=Homo sapiens GN=PLOD1 PE=1 SV=2;2.38e+004;3.78e+004
SPYA_HUMAN;1 (1);34.42;0.48;1.59;123;Serine--pyruvate aminotransferase OS=Homo sapiens GN=AGXT PE=1 SV=1;1.62e+004;1.01e+004
RAB2A_HUMAN;1 (1);33.65;0.48;1.58;123;Ras-related protein Rab-2A OS=Homo sapiens GN=RAB2A PE=1 SV=1;364.64;574.89
KI67_HUMAN;2 (2);40.75;0.48;1.53;123;Antigen KI-67 OS=Homo sapiens GN=MKI67 PE=1 SV=2;5.54e+004;8.50e+004
CD248_HUMAN;5 (5);244.02;0.48;1.45;123;Endosialin OS=Homo sapiens GN=CD248 PE=1 SV=1;3.64e+004;5.27e+004
TTC28_HUMAN;1 (1);22.36;0.48;1.39;123;Tetratricopeptide repeat protein 28 OS=Homo sapiens GN=TTC28 PE=1 SV=4;630.18;874.02
PROS_HUMAN;8 (8);336.19;0.48;1.18;123;Vitamin K-dependent protein S OS=Homo sapiens GN=PROS1 PE=1 SV=1;1.19e+004;1.40e+004
THIO_HUMAN;3 (3);160.72;0.47;2.76;123;Thioredoxin OS=Homo sapiens GN=TXN PE=1 SV=3;5.76e+004;2.09e+004
TRAIP_HUMAN;1 (1);20.89;0.47;1.86;123;E3 ubiquitin-protein ligase TRAIP OS=Homo sapiens GN=TRAIP PE=1 SV=1;2608.97;4842.37
PDIA6_HUMAN;10 (10);822.86;0.47;1.63;123;Protein disulfide-isomerase A6 OS=Homo sapiens GN=PDIA6 PE=1 SV=1;2.61e+004;4.26e+004
ADK_HUMAN;1 (1);20.70;0.47;1.61;123;Adenosine kinase OS=Homo sapiens GN=ADK PE=1 SV=2;966.33;1551.22
HSPB1_HUMAN;12 (12);593.12;0.47;1.47;123;Heat shock protein beta-1 OS=Homo sapiens GN=HSPB1 PE=1 SV=2;1.65e+005;2.43e+005
SYNC_HUMAN;1 (1);33.19;0.47;1.32;123;Asparagine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=NARS PE=1 SV=1;485.60;643.25
SYFA_HUMAN;1 (1);44.96;0.47;1.26;123;Phenylalanine--tRNA ligase alpha subunit OS=Homo sapiens GN=FARSA PE=1 SV=3;3428.79;4324.74
MFGM_HUMAN;10 (10);558.30;0.47;1.21;123;Lactadherin OS=Homo sapiens GN=MFGE8 PE=1 SV=2;5.50e+004;6.65e+004
SBDS_HUMAN;4 (4);93.83;0.47;1.18;123;Ribosome maturation protein SBDS OS=Homo sapiens GN=SBDS PE=1 SV=4;4518.66;3833.23
GNPTG_HUMAN;8 (8);483.74;0.47;1.15;123;N-acetylglucosamine-1-phosphotransferase subunit gamma OS=Homo sapiens GN=GNPTG PE=1 SV=1;4.52e+004;5.19e+004
PB1_HUMAN;1 (1);23.11;0.47;1.09;123;Protein polybromo-1 OS=Homo sapiens GN=PBRM1 PE=1 SV=1;5382.57;5869.42
CRDL2_HUMAN;1 (1);27.31;0.46;9.21;123;Chordin-like protein 2 OS=Homo sapiens GN=CHRDL2 PE=1 SV=1;145.48;1339.74
XP32_HUMAN;1 (1);15.82;0.46;3.90;123;Skin-specific protein 32 OS=Homo sapiens GN=XP32 PE=1 SV=1;499.33;1947.23
SRCRL_HUMAN;2 (2);160.92;0.46;2.06;123;Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D OS=Homo sapiens GN=SSC5D PE=2 SV=3;4388.94;9041.56
K1C9_HUMAN;38 (37);2183.84;0.46;2.04;123;Keratin, type I cytoskeletal 9 OS=Homo sapiens GN=KRT9 PE=1 SV=3;7.87e+005;3.86e+005
GMFB_HUMAN;1 (1);34.09;0.46;1.82;123;Glia maturation factor beta OS=Homo sapiens GN=GMFB PE=1 SV=2;2064.75;3767.46
NPA1P_HUMAN;2 (2);36.77;0.46;1.78;123;Nucleolar pre-ribosomal-associated protein 1 OS=Homo sapiens GN=URB1 PE=1 SV=4;238.98;425.53
JIP4_HUMAN;1 (1);24.94;0.46;1.69;123;C-Jun-amino-terminal kinase-interacting protein 4 OS=Homo sapiens GN=SPAG9 PE=1 SV=4;1398.36;2359.08
NAV2_HUMAN;1 (1);20.35;0.46;1.64;123;Neuron navigator 2 OS=Homo sapiens GN=NAV2 PE=1 SV=3;2.91e+005;4.78e+005
VIME_HUMAN;74 (62);4373.23;0.46;1.41;123;Vimentin OS=Homo sapiens GN=VIM PE=1 SV=4;1.28e+006;1.79e+006
TBA1B_HUMAN;12 (2);715.19;0.46;1.32;123;Tubulin alpha-1B chain OS=Homo sapiens GN=TUBA1B PE=1 SV=1;2.54e+004;1.92e+004
MMP2_HUMAN;27 (27);1761.89;0.46;1.31;123;72 kDa type IV collagenase OS=Homo sapiens GN=MMP2 PE=1 SV=2;1.94e+005;2.54e+005
LAMC1_HUMAN;23 (23);1713.09;0.46;1.19;123;Laminin subunit gamma-1 OS=Homo sapiens GN=LAMC1 PE=1 SV=3;7.46e+004;6.25e+004
ERH_HUMAN;1 (1);59.03;0.45;2.27;123;Enhancer of rudimentary homolog OS=Homo sapiens GN=ERH PE=1 SV=1;4.10e+004;1.81e+004
TR10B_HUMAN;1 (1);22.87;0.45;1.87;123;Tumor necrosis factor receptor superfamily member 10B OS=Homo sapiens GN=TNFRSF10B PE=1 SV=2;1.60e+004;2.99e+004
ARP2_HUMAN;2 (2);91.14;0.45;1.79;123;Actin-related protein 2 OS=Homo sapiens GN=ACTR2 PE=1 SV=1;8355.08;1.50e+004
EF1B_HUMAN;3 (2);194.85;0.45;1.75;123;Elongation factor 1-beta OS=Homo sapiens GN=EEF1B2 PE=1 SV=3;1.34e+004;2.34e+004
AN18A_HUMAN;1 (1);19.47;0.45;1.75;123;Ankyrin repeat domain-containing protein 18A OS=Homo sapiens GN=ANKRD18A PE=2 SV=3;2338.53;4091.14
EIF1A_HUMAN;1 (1);17.67;0.45;1.72;123;Probable RNA-binding protein EIF1AD OS=Homo sapiens GN=EIF1AD PE=1 SV=1;1702.36;2926.31
GLCM_HUMAN;3 (3);104.56;0.45;1.71;123;Glucosylceramidase OS=Homo sapiens GN=GBA PE=1 SV=3;1968.01;3366.83
CAH8_HUMAN;2 (2);67.73;0.45;1.68;123;Carbonic anhydrase-related protein OS=Homo sapiens GN=CA8 PE=1 SV=3;8.53e+004;1.44e+005
RNF32_HUMAN;1 (1);17.43;0.45;1.68;123;RING finger protein 32 OS=Homo sapiens GN=RNF32 PE=1 SV=1;381.43;227.15
PALLD_HUMAN;7 (7);279.29;0.45;1.62;123;Palladin OS=Homo sapiens GN=PALLD PE=1 SV=3;1.27e+004;2.05e+004
FSTL3_HUMAN;1 (1);63.79;0.45;1.61;123;Follistatin-related protein 3 OS=Homo sapiens GN=FSTL3 PE=1 SV=1;6320.84;1.02e+004
UBL4A_HUMAN;2 (2);46.26;0.45;1.51;123;Ubiquitin-like protein 4A OS=Homo sapiens GN=UBL4A PE=1 SV=1;6.47e+004;9.80e+004
PRDX5_HUMAN;9 (9);430.63;0.45;1.14;123;Peroxiredoxin-5, mitochondrial OS=Homo sapiens GN=PRDX5 PE=1 SV=4;6.21e+004;7.08e+004
SPB12_HUMAN;1 (1);36.56;0.44;2.74;123;Serpin B12 OS=Homo sapiens GN=SERPINB12 PE=1 SV=1;408.88;1121.48
S10A8_HUMAN;2 (2);60.48;0.44;10.06;123;Protein S100-A8 OS=Homo sapiens GN=S100A8 PE=1 SV=1;1.93e+004;1918.40
2AAA_HUMAN;5 (5);124.91;0.44;1.90;123;Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform OS=Homo sapiens GN=PPP2R1A PE=1 SV=4;2737.01;5212.80
AATM_HUMAN;2 (2);143.84;0.44;1.86;123;Aspartate aminotransferase, mitochondrial OS=Homo sapiens GN=GOT2 PE=1 SV=3;5428.53;1.01e+004
TIMP2_HUMAN;13 (13);789.16;0.44;1.83;123;Metalloproteinase inhibitor 2 OS=Homo sapiens GN=TIMP2 PE=1 SV=2;4.72e+005;2.57e+005
PIN4_HUMAN;1 (1);86.43;0.44;1.78;123;Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4 OS=Homo sapiens GN=PIN4 PE=1 SV=1;2149.64;3824.82
C2C4C_HUMAN;1 (1);20.97;0.44;1.76;123;C2 calcium-dependent domain-containing protein 4C OS=Homo sapiens GN=C2CD4C PE=1 SV=2;973.63;1714.89
CACB4_HUMAN;1 (1);21.59;0.44;1.74;123;Voltage-dependent L-type calcium channel subunit beta-4 OS=Homo sapiens GN=CACNB4 PE=1 SV=2;7.54e+005;1.31e+006
PPIL3_HUMAN;3 (3);143.73;0.44;1.73;123;Peptidyl-prolyl cis-trans isomerase-like 3 OS=Homo sapiens GN=PPIL3 PE=1 SV=1;2369.76;4091.03
PRDX1_HUMAN;11 (8);492.17;0.44;1.39;123;Peroxiredoxin-1 OS=Homo sapiens GN=PRDX1 PE=1 SV=1;1.32e+005;1.83e+005
TITIN_HUMAN;16 (14);317.98;0.44;1.31;123;Titin OS=Homo sapiens GN=TTN PE=1 SV=4;4.71e+004;3.59e+004
K319L_HUMAN;3 (3);119.24;0.44;1.15;123;Dyslexia-associated protein KIAA0319-like protein OS=Homo sapiens GN=KIAA0319L PE=1 SV=2;1.47e+004;1.28e+004
TCPD_HUMAN;2 (2);35.42;0.43;2.84;123;T-complex protein 1 subunit delta OS=Homo sapiens GN=CCT4 PE=1 SV=4;225.71;640.31
HTR5A_HUMAN;2 (2);42.60;0.43;2.18;123;HEAT repeat-containing protein 5A OS=Homo sapiens GN=HEATR5A PE=1 SV=2;3.79e+004;8.25e+004
RL18A_HUMAN;1 (1);22.71;0.43;1.91;123;60S ribosomal protein L18a OS=Homo sapiens GN=RPL18A PE=1 SV=2;248.22;473.89
GNA13_HUMAN;1 (1);25.50;0.43;1.68;123;Guanine nucleotide-binding protein subunit alpha-13 OS=Homo sapiens GN=GNA13 PE=1 SV=2;1051.21;1763.67
GREM2_HUMAN;1 (1);42.94;0.43;1.61;123;Gremlin-2 OS=Homo sapiens GN=GREM2 PE=1 SV=1;3970.98;6375.71
AATC_HUMAN;7 (7);285.78;0.43;1.45;123;Aspartate aminotransferase, cytoplasmic OS=Homo sapiens GN=GOT1 PE=1 SV=3;3310.21;4815.99
SENP2_HUMAN;1 (1);21.21;0.43;1.45;123;Sentrin-specific protease 2 OS=Homo sapiens GN=SENP2 PE=1 SV=3;530.01;364.31
PROF1_HUMAN;14 (14);1006.44;0.43;1.24;123;Profilin-1 OS=Homo sapiens GN=PFN1 PE=1 SV=2;9.55e+005;7.68e+005
UB2L6_HUMAN;1 (1);37.55;0.42;3.17;123;Ubiquitin/ISG15-conjugating enzyme E2 L6 OS=Homo sapiens GN=UBE2L6 PE=1 SV=4;5270.03;1663.95
SCRG1_HUMAN;1 (1);24.91;0.42;2.35;123;Scrapie-responsive protein 1 OS=Homo sapiens GN=SCRG1 PE=1 SV=1;6.18e+004;2.64e+004
ABCA6_HUMAN;1 (1);32.04;0.42;2.28;123;ATP-binding cassette sub-family A member 6 OS=Homo sapiens GN=ABCA6 PE=1 SV=2;1135.25;2593.69
GGT5_HUMAN;2 (2);118.65;0.42;2.23;123;Gamma-glutamyltransferase 5 OS=Homo sapiens GN=GGT5 PE=1 SV=2;2407.97;5362.22
IBP3_HUMAN;12 (12);616.70;0.42;2.16;123;Insulin-like growth factor-binding protein 3 OS=Homo sapiens GN=IGFBP3 PE=1 SV=2;7.36e+005;3.40e+005
FAM3C_HUMAN;2 (2);148.07;0.42;2.01;123;Protein FAM3C OS=Homo sapiens GN=FAM3C PE=1 SV=1;8717.01;1.75e+004
GP179_HUMAN;1 (1);20.63;0.42;10.54;123;Probable G-protein coupled receptor 179 OS=Homo sapiens GN=GPR179 PE=1 SV=2;1.14e+005;1.08e+004
RLA1_HUMAN;1 (1);54.56;0.42;1.98;123;60S acidic ribosomal protein P1 OS=Homo sapiens GN=RPLP1 PE=1 SV=1;2.81e+004;5.58e+004
PTPA_HUMAN;4 (4);169.90;0.42;1.85;123;Serine/threonine-protein phosphatase 2A activator OS=Homo sapiens GN=PPP2R4 PE=1 SV=3;2507.41;4626.56
PRS6A_HUMAN;2 (2);51.57;0.42;1.75;123;26S protease regulatory subunit 6A OS=Homo sapiens GN=PSMC3 PE=1 SV=3;2553.96;4476.64
HS90A_HUMAN;17 (8);916.44;0.42;1.61;123;Heat shock protein HSP 90-alpha OS=Homo sapiens GN=HSP90AA1 PE=1 SV=5;3.12e+004;5.04e+004
PARVA_HUMAN;4 (4);262.52;0.42;1.59;123;Alpha-parvin OS=Homo sapiens GN=PARVA PE=1 SV=1;3618.52;5761.62
EPDR1_HUMAN;6 (6);333.58;0.42;1.50;123;Mammalian ependymin-related protein 1 OS=Homo sapiens GN=EPDR1 PE=1 SV=2;1.92e+004;2.89e+004
FRIH_HUMAN;2 (2);67.61;0.42;1.45;123;Ferritin heavy chain OS=Homo sapiens GN=FTH1 PE=1 SV=2;3517.93;5102.37
UBE2N_HUMAN;6 (6);263.46;0.42;1.28;123;Ubiquitin-conjugating enzyme E2 N OS=Homo sapiens GN=UBE2N PE=1 SV=1;4.71e+004;6.04e+004
SEP10_HUMAN;1 (1);77.47;0.42;1.21;123;Septin-10 OS=Homo sapiens GN=SEPT10 PE=1 SV=2;1.52e+004;1.26e+004
S10A9_HUMAN;1 (1);15.61;0.41;32.23;123;Protein S100-A9 OS=Homo sapiens GN=S100A9 PE=1 SV=1;4.52e+004;1402.00
GRPE1_HUMAN;1 (1);27.67;0.41;2.62;123;GrpE protein homolog 1, mitochondrial OS=Homo sapiens GN=GRPEL1 PE=1 SV=2;1503.68;3937.93
CDN2B_HUMAN;1 (1);21.82;0.41;2.23;123;Cyclin-dependent kinase 4 inhibitor B OS=Homo sapiens GN=CDKN2B PE=1 SV=1;193.23;431.30
KMT2C_HUMAN;2 (2);36.79;0.41;19.18;123;Histone-lysine N-methyltransferase 2C OS=Homo sapiens GN=KMT2C PE=1 SV=3;3.67e+005;1.91e+004
ITB1_HUMAN;3 (3);90.71;0.41;1.99;123;Integrin beta-1 OS=Homo sapiens GN=ITGB1 PE=1 SV=2;2520.46;5015.42
LSM2_HUMAN;1 (1);109.17;0.41;1.95;123;U6 snRNA-associated Sm-like protein LSm2 OS=Homo sapiens GN=LSM2 PE=1 SV=1;4036.36;7877.49
